name	source	about	first_release	types	paradigms	website
a.net	https://en.wikipedia.org/wiki/A_Sharp_(.NET)	A# is a port of the Ada programming language to the Microsoft .NET platform. A# is freely distributed by the Department of Computer Science at the United States Air Force Academy as a service to the Ada community under the terms of the GNU General Public License.	2004			http://www.asharp.martincarlisle.com/
a-0 system	https://en.wikipedia.org/wiki/A-0_System	The A-0 system (Arithmetic Language version 0), written by Grace Murray Hopper [1] in 1951 and 1952 for the UNIVAC I, was an early[2] compiler related tool developed for electronic computers.[3] The A-0 functioned more as a loader or linker than the modern notion of a compiler. A program was specified as a sequence of subroutines and arguments. The subroutines were identified by a numeric code and the arguments to the subroutines were written directly after each subroutine code. The A-0 system converted the specification into machine code that could be fed into the computer a second time to execute the said program.				
a+	https://en.wikipedia.org/wiki/A%2B_(programming_language)	A+ is an array programming language descended from the programming language A, which in turn was created to replace APL in 1988.[2] Arthur Whitney developed the A portion of A+, while other developers at Morgan Stanley extended it, adding a graphical user interface and other language features. A+ is a high-level, interactive, interpreted language, designed for numerically intensive applications, especially those found in financial applications. A+ runs on many Unix variants, including Linux. It is free and open source software released under a GNU General Public License.	1988	['Dynamic', 'strong']	['Array']	http://www.aplusdev.org/
abap	https://en.wikipedia.org/wiki/ABAP	"ABAP (Advanced Business Application Programming, originally Allgemeiner Berichts-Aufbereitungs-Prozessor, German for ""general report creation processor""[3]) is a high-level programming language created by the German software company SAP SE. It is extracted from the base computing languages Java, C, C++ and Python. It is currently positioned, alongside Java, as the language for programming the SAP NetWeaver Application Server, which is part of the SAP NetWeaver platform for building business applications."	1983	['Static', 'strong', 'safe', 'nominative']	['Object-oriented', 'structured', 'imperative']	http://scn.sap.com/community/abap
abc	https://en.wikipedia.org/wiki/ABC_(programming_language)	ABC is an imperative general-purpose programming language and integrated development environment (IDE) developed at Centrum Wiskunde & Informatica (CWI), Netherlands by Leo Geurts, Lambert Meertens, and Steven Pemberton. It is interactive, structured, high-level, and intended to be used instead of BASIC, Pascal, or AWK. It is intended for teaching or prototyping, but not as a systems-programming language.	1987	['strong', 'polymorphic']	['multi-paradigm', 'imperative', 'procedural', 'structured']	https://homepages.cwi.nl/~steven/abc/
abc algol	https://en.wikipedia.org/wiki/ABC_ALGOL	ABC ALGOL is an extension of the programming language ALGOL 60 with arbitrary data structures and user-defined operators, intended for computer algebra (symbolic mathematics). Despite its advances, it was never used as widely as Algol proper.				
acc	https://en.wikipedia.org/wiki/ACC_(programming_language)	ACC is a near-C compiler for the MS-DOS operating system on the IBM PC line of computers for programs.[1] The compiler and compiled programs will run on any Intel 80386 or above PC running MS-DOS. Included with the compiler are a 386 assembler and a linker for combining multiple object files.[2] There are also two libraries, which are a protected mode DOS extender (based on Thomas Pytel's, AKA Tran's PMODE30B + PMODE307 DOS extenders), and a library of functions callable by C programs.				
accent	https://en.wikipedia.org/wiki/Accent_(programming_language)	Rational Synergy is a software tool that provides software configuration management (SCM) capabilities for all artifacts related to software development including source code, documents and images as well as the final built software executable and libraries. Rational Synergy also provides the repository for the change management tool known as Rational Change. Together these two tools form an integrated configuration management and change management environment that is used in software development organizations that need controlled SCM processes and an understanding of what is in a build of their software.	1990			http://www.ibm.com/software/products/en/ratisyne
ace dasl	https://en.wikipedia.org/wiki/Distributed_Application_Specification_Language	The DASL Programming Language (Distributed Application Specification Language) is a high-level, strongly typed programming language originally developed at Sun Microsystems Laboratories between 1999 and 2003 as part of the Ace Project. The goals of the project were to enable rapid development of web-based applications based on Sun's J2EE architecture, and to eliminate the steep learning curve of platform-specific details.				
action!	https://en.wikipedia.org/wiki/Action!_(programming_language)	"Action! is a procedural programming language similar to ALGOL that is intended to produce high-performance programs for the Atari 8-bit family. The language was written by Clinton Parker and distributed on ROM cartridge by Optimized Systems Software (OSS) starting in 1983. It was one of the first of OSS's bank switching ""Super Cartridges"", with a total of 16 kB of code."	1983			
