name	source
A.NET	https://en.wikipedia.org/wiki/A_Sharp_(.NET)
A-0 System	https://en.wikipedia.org/wiki/A-0_System
A+	https://en.wikipedia.org/wiki/A%2B_(programming_language)
ABAP	https://en.wikipedia.org/wiki/ABAP
ABC	https://en.wikipedia.org/wiki/ABC_(programming_language)
ABC ALGOL	https://en.wikipedia.org/wiki/ABC_ALGOL
ACC	https://en.wikipedia.org/wiki/ACC_(programming_language)
Accent	https://en.wikipedia.org/wiki/Accent_(programming_language)
Ace DASL (Distributed Application Specification Language)	https://en.wikipedia.org/wiki/Distributed_Application_Specification_Language
Action!	https://en.wikipedia.org/wiki/Action!_(programming_language)
ActionScript	https://en.wikipedia.org/wiki/ActionScript
Actor	https://en.wikipedia.org/wiki/Actor_(programming_language)
Ada	https://en.wikipedia.org/wiki/Ada_(programming_language)
Adenine	https://en.wikipedia.org/wiki/Adenine_(programming_language)
AdvPL	https://en.wikipedia.org/wiki/AdvPL
Agda	https://en.wikipedia.org/wiki/Agda_(theorem_prover)
Agilent VEE	https://en.wikipedia.org/wiki/Agilent_VEE
Agora	https://en.wikipedia.org/wiki/Agora_(programming_language)
AIMMS	https://en.wikipedia.org/wiki/AIMMS
Aldor	https://en.wikipedia.org/wiki/Aldor
Alef	https://en.wikipedia.org/wiki/Alef_(programming_language)
ALF	https://en.wikipedia.org/wiki/Algebraic_Logic_Functional_programming_language
ALGOL 58	https://en.wikipedia.org/wiki/ALGOL_58
ALGOL 60	https://en.wikipedia.org/wiki/ALGOL_60
ALGOL 68	https://en.wikipedia.org/wiki/ALGOL_68
ALGOL W	https://en.wikipedia.org/wiki/ALGOL_W
Alice	https://en.wikipedia.org/wiki/Alice_(programming_language)
Alma-0	https://en.wikipedia.org/wiki/Alma-0
AmbientTalk	https://en.wikipedia.org/wiki/AmbientTalk
Amiga E	https://en.wikipedia.org/wiki/Amiga_E
AMOS	https://en.wikipedia.org/wiki/AMOS_(programming_language)
AMPL	https://en.wikipedia.org/wiki/AMPL
AngelScript	https://en.wikipedia.org/wiki/AngelScript
Apache Pig latin	https://en.wikipedia.org/wiki/Apache_Pig
Apex	https://en.wikipedia.org/wiki/Apex_(programming_language)
APL	https://en.wikipedia.org/wiki/APL_(programming_language)
App Inventor for Android's visual block language	https://en.wikipedia.org/wiki/App_Inventor_for_Android_(programming_language)
AppleScript	https://en.wikipedia.org/wiki/AppleScript
APT	https://en.wikipedia.org/wiki/APT_(programming_language)
Arc	https://en.wikipedia.org/wiki/Arc_(programming_language)
ARexx	https://en.wikipedia.org/wiki/ARexx
Argus	https://en.wikipedia.org/wiki/Argus_(programming_language)
Assembly language	https://en.wikipedia.org/wiki/Assembly_language
AutoHotkey	https://en.wikipedia.org/wiki/AutoHotkey
AutoIt	https://en.wikipedia.org/wiki/AutoIt
AutoLISP / Visual LISP	https://en.wikipedia.org/wiki/AutoLISP
Averest	https://en.wikipedia.org/wiki/Averest
AWK	https://en.wikipedia.org/wiki/AWK
Axum	https://en.wikipedia.org/wiki/Axum_(programming_language)
B	https://en.wikipedia.org/wiki/B_(programming_language)
Babbage	https://en.wikipedia.org/wiki/Babbage_(programming_language)
Ballerina	https://en.wikipedia.org/wiki/Ballerina_(programming_language)
Bash	https://en.wikipedia.org/wiki/Bash_(Unix_shell)
BASIC	https://en.wikipedia.org/wiki/BASIC
Batch file (Windows/MS-DOS)	https://en.wikipedia.org/wiki/Batch_file
bc	https://en.wikipedia.org/wiki/Bc_(programming_language)
BCPL	https://en.wikipedia.org/wiki/BCPL
BeanShell	https://en.wikipedia.org/wiki/BeanShell
Bertrand	https://en.wikipedia.org/wiki/Bertrand_(programming_language)
BETA	https://en.wikipedia.org/wiki/BETA_(programming_language)
BLISS	https://en.wikipedia.org/wiki/BLISS_(programming_language)
Blockly	https://en.wikipedia.org/wiki/Blockly
BlooP	https://en.wikipedia.org/wiki/BlooP_and_FlooP
Boo	https://en.wikipedia.org/wiki/Boo_(programming_language)
Boomerang	https://en.wikipedia.org/wiki/Boomerang_(programming_language)
Bosque	https://en.wikipedia.org/wiki/Bosque_(programming_language)
C	https://en.wikipedia.org/wiki/C_(programming_language)
C--	https://en.wikipedia.org/wiki/C--
C++	https://en.wikipedia.org/wiki/C%2B%2B
C*	https://en.wikipedia.org/wiki/C*
C#	https://en.wikipedia.org/wiki/C_Sharp_(programming_language)
C/AL	https://en.wikipedia.org/wiki/C/AL
Caché ObjectScript	https://en.wikipedia.org/wiki/Cach%C3%A9_ObjectScript
C Shell (csh)	https://en.wikipedia.org/wiki/C_Shell
Caml	https://en.wikipedia.org/wiki/Caml
Cayenne	https://en.wikipedia.org/wiki/Cayenne_(programming_language)
